Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
YSL-La-Nuit-De-L'Homme-Bleu-Électrique-Eau-de-Toilette,YSL La Nuit De L'Homme Bleu Électrique EDT Intense,"L'Histoire du Parfum (Description Longue)
La Nuit de L'Homme Bleu Électrique d'Yves Saint Laurent est une variation intense, plus fraîche et résolument électrique du grand classique de la séduction masculine. Capturé dans son flacon cylindrique iconique qui s'habille pour l'occasion d'un dégradé bleu nuit incandescent et magnétique, ce parfum évoque l'atmosphère suspendue d'une nuit urbaine où la tension monte. Il est le sillage de l'homme moderne, mystérieux et sûr de lui, qui avance dans l'obscurité avec un charisme désinvolte et ravageur.

L'expérience olfactive s'ouvre sur un éclat de fraîcheur fusante et piquante, où la cardamome iconique de la gamme est bousculée par l'énergie vibrante du gingembre et de la bergamote. En son cœur, la fragrance gagne en élégance et en douceur aromatique grâce à la pureté de la lavande Diva de Provence, une note exclusive qui donne au parfum son relief si particulier. Enfin, le piège de la séduction se referme dans une base boisée et fumée, portée par la noblesse du cèdre et du vétiver, conférant au sillage une virilité sensuelle et une excellente tenue.

À la fois frais, épicé et profondément addictif, Bleu Électrique est devenu une véritable légende urbaine pour les amateurs de compliments. C'est l'arme invisible idéale pour l'homme qui veut marquer les esprits dès le premier regard et laisser une empreinte inoubliable au cœur de la nuit.",Yves Saint Laurent,Boisé,,,TRUE,Title,Default Title,REF-YVE-365,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784391012199-178034670-yves_la_nuit_de_l_homme_blue_elec.jpg,active
armani-stronger-with-you-tobacco-eau-de-parfum-tester,Armani Stronger With You Tobacco,"Une interprétation audacieuse où les feuilles de tabac riches et texturées viennent complexifier la douceur vanillée. Envoûtant, mature et charismatique.",Giorgio Armani,Ambré Épicé,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-075,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986813743-armani_stronger_with_you_tobacco.jpg,active
VALENTINO-UOMO-BORN-IN-ROMA-GREEN-STRAVAGANZA,VALENTINO UOMO BORN IN ROMA GREEN STRAVAGANZA EDT,"Uomo Born In Roma Green Stravaganza de Valentino est une ode vibrante à l'extravagance, à la liberté et à l'expression de soi qui anime les rues de Rome à l'aube. Capturé dans l'emblématique flacon sculptural taillé en pointes de diamant — le célèbre motif ""Rockstud"" signature de la maison haute couture — ce parfum révèle un élixir vert électrique. Il incarne le sillage de l'homme audacieux, authentique et magnétique, qui embrasse sa singularité avec une assurance décomplexée.

L'histoire olfactive s'ouvre sur un choc d'énergie pure et lumineuse, mené par la fraîcheur fusante de la bergamote de Calabre qui réveille instantanément les sens. En son cœur, la fragrance bascule de manière inattendue dans une dimension hautement addictive et texturée : un accord de café noir torréfié vient bousculer la clarté initiale, capturant toute l'intensité et la chaleur d'un espresso italien corsé. Enfin, le sillage s'étire vers une virilité noble et sophistiquée, ancrée dans la profondeur boisée et terreuse de l'essence de vétiver d'Haïti.

Moderne, percutant et follement contrasté, Green Stravaganza réinvente les codes de la parfumerie masculine. C'est la signature idéale pour l'homme qui veut marquer les esprits par un équilibre parfait entre fraîcheur hespéridée et chaleur ténébreuse.",Valentino,Boisé,,,TRUE,Title,Default Title,REF-VAL-366,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784391257862-925377715-VALENTINO_UOMO_BORN_IN_ROMA_GREEN_STRAVAGANZA.jpg,active
Louis-Vuitton-Imagination,Louis Vuitton Imagination,"Imagination de Louis Vuitton est une œuvre d'art olfactive qui célèbre l'impulsion créative, l'audace et la liberté de l'esprit. Conçue par le Maître Parfumeur Jacques Cavallier Belletrud, cette fragrance capture la magie des voyages immobiles, là où la pensée s'évade au-delà des frontières et redéfinit le possible. Logé dans le flacon épuré et cristallin signature de la Maison, révélant un jus d'un bleu-vert aquatique et lumineux, ce parfum incarne un luxe moderne, aérien et d'une élégance absolue.

L'histoire s'ouvre sur une clarté spectaculaire, une véritable surdose d'agrumes nobles où la bergamote de Calabre et l'orange de Sicile fusionnent pour apporter une fraîcheur fusante et instantanée d'une qualité inégalée. En son cœur, la fragrance gagne en relief et en tempérament grâce au contraste saisissant d'un gingembre nigérian piquant, subtilement réchauffé par la cannelle et magnifié par la pureté florale du néroli. Enfin, le sillage se déploie dans une dimension hautement contemporaine et addictive : l'ambroxan, joyau de la haute parfumerie à l'effet peau propre et ambrée, s'associe aux notes nobles et délicatement fumées du thé noir de Chine pour ancrer la fragrance sur la peau.

À la fois d'une fraîcheur éclatante et d'une persistance rare pour une composition hespéridée, Imagination transcende les codes traditionnels. C'est le sillage invisible de l'homme sophistiqué et visionnaire qui recherche un parfum d'exception, lumineux, propre et irrésistiblement mémorable.",Louis Vuitton,Aromatique,,,TRUE,Title,Default Title,REF-LOU-367,shopify,10,continue,manual,399,599,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784391767642-346836464-Louis_Vuitton.jpg,active
amouage-epic-tester,Amouage Decision,Une fraîcheur foudroyante de bergamote et d'épices qui se fond dans la profondeur mystique de l'encens. Une signature lumineuse pour les esprits affirmés.,Amouage,Boisé Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-AMO-065,shopify,,continue,manual,399,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986816729-amouage_epic_white.jpg,active
boss-bottled-night-eau-de-toilette-tester,Boss Bottled Night,"Une composition virile et magnétique articulée autour du bois de Louro Amarelo, de la lavande et du musc. L'arme de séduction pour les soirées d'été.",Hugo Boss,Boisé Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-BOS-228,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027786261-221282818-bottled_boss_night.jpg,active
Absolu-Aventus-Creed,Creed Absolu Aventus,"Absolu Aventus de Creed est un parfum Chypré Fruité pour homme. C'est un nouveau parfum. Absolu Aventus a été lancé en 2025. Les notes de tête sont Ananas, Cassis, Pamplemousse, Poivre rose, Citron et Bergamote; les notes de coeur sont Cardamome, Cannelle et Gingembre; les notes de fond sont Vétiver et Patchouli.",Creed,Aromatique,,,TRUE,Title,Default Title,REF-CRE-355,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784030710454-24792876-creed_absolu.jpg,active
burberry-her-tester,Burberry Her Intense,"L'ADN fruité original s'enrichit d'une mûre profonde et veloutée et d'un jasmin enivrant. Un sillage plus riche, plus chaud et irrésistiblement sophistiqué.",Burberry,Floral Fruité Gourmand,,"tester,nouveau",TRUE,Title,Default Title,REF-BUR-232,shopify,10,continue,manual,299,449,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986815953-burberry_her_intense.jpg,active
burberry-goddess-eau-de-parfum-tester,Burberry Goddess,"Une création unique s'articulant autour d'un trio puissant de vanilles, délicatement rafraîchie par une lavande lumineuse. Une aura réconfortante, noble et puissante.",Burberry,Ambré,,"tester,nouveau",TRUE,Title,Default Title,REF-BUR-230,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986815093-burberry_goddess.jpg,active
guerlain-aqua-allegoria-nerolia-vetiver-tester,Guerlain Aqua Allegoria Nerolia Vetiver,L'éclat floral du néroli de Calabre se mêle au vétiver boisé et à la fraîcheur gourmande de la figue. Une radiance chic et gorgée de soleil.,Guerlain,Floral Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-GUE-278,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784028683034-760620920-Guerlain_Aqua_Allegoria_Nerolia_Vetiver.jpg,active
Yves-saint-Laurent-Libbre-Vanille-Couture-EDP,Yves saint Laurent Libbre Vanille Couture EDP,"Avec Libre Vanille Couture, la maison Yves Saint Laurent élève sa signature olfactive la plus emblématique au sommet de la haute parfumerie et de la sophistication couture. Cette édition d'exception célèbre la rencontre entre l'esprit transgressif de Libre et le luxe solaire et fastueux de l'or.

La composition pousse à son paroxysme la tension iconique entre la lavande Diva française et la fleur d'oranger marocaine en les baignant dans une overdose de vanilles rares. Le départ scintillant et subtilement épicé introduit un cœur floral vibrant, avant de plonger dans une texture riche, liquoreuse et addictive dominée par un duo d'infusion et d'absolu de vanille Bourbon. Rehaussé par la chaleur de bois précieux et d'un ambre enveloppant, le sillage laisse une empreinte magnétique, chaleureuse et inoubliable.

Véritable chef-d'œuvre de design, le flacon s'habille d'un manteau doré texturé comme un tissu haute couture brossé à la feuille d'or, contrasté par le mythique Cassandre YSL oversize cloué au verre et un capot asymétrique noir laqué. Libre Vanille Couture incarne le triomphe de la féminité affirmée, de l'extravagance assumée et du glamour absolu.",Yves Saint Laurent,Floral,,,TRUE,Title,Default Title,REF-YVE-400,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1788176595384-562653187-Yves_saint_Laurent_Libbre_Vanille_Couture_EDP.jpg,active
chanel-chance-eau-tendre-eau-de-toilette-tester,Chanel Chance Eau Tendre,L'entrelacement délicat d'un accord pamplemousse-coing fruité avec la douceur du jasmin et la tendresse des muscs blancs. Un voile de pure tendresse.,Chanel,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-238,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027974878-933493636-Chanel_Chance_tendre.jpg,active
Louis-Vuitton-California-Dream,Louis Vuitton California Dream,"California Dream de Louis Vuitton est une véritable poésie olfactive qui capture la nostalgie et la splendeur éphémère d'un coucher de soleil sur la côte ouest américaine. Imaginée par le Maître Parfumeur Jacques Cavallier Belletrud, cette fragrance est conçue pour prolonger à l'infini le bonheur d'une journée d'été basculant doucement vers la fraîcheur de la nuit. Le flacon lui-même s'affiche comme une œuvre d'art, habillé d'un dégradé fascinant de bleu azur et de rose incandescent (créé en collaboration avec l'artiste Alex Israel), reflétant fidèlement le ciel de Los Angeles à l'heure dorée.

L'expérience sensorielle s'ouvre sur un éclat d'une clarté absolue, dominé par une mandarine sicilienne d'une fraîcheur fusante, vive et gorgée de soleil. En son cœur, la fragrance s'adoucit et gagne en texture grâce à la graine d'ambrette, qui introduit des nuances charnelles, délicatement fruitées et subtilement sophistiquées. Enfin, le sillage se pose avec une tendresse infinie sur un fond de benjoin baumé et de muscs blancs, créant une chaleur douce ""effet seconde peau"", pareille aux derniers rayons du soleil qui caressent la peau avant le crépuscule.

À la fois frais, chaleureux et incroyablement poétique, California Dream transcende les codes traditionnels de la fraîcheur. C'est la signature olfactive idéale pour les esprits libres et rêveurs en quête d'un sillage lumineux, propre et intensément évocateur.",Louis Vuitton,Aromatique,,,TRUE,Title,Default Title,REF-LOU-370,shopify,,continue,manual,399,549,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784392710368-925257874-Louis_Vuitton_ccalifornia_dream.jpg,active
chanel-allure-homme-sport-eau-de-toilette-tester,Chanel Allure Homme Sport,"Une fraîcheur pétillante de mandarine italienne contrastée par la sensualité de la fève tonka et du musc blanc. Un sillage dynamique, élégant et vivifiant.",Chanel,Boisé Épicé (Frais),,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-234,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986819840-Chanel_Allure_Homme_Sport.jpg,active
chanel-chance-eau-de-parfum-tester,Chanel Chance,Testeur authentique de Chanel Chance par Chanel. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Chanel,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-236,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986819335-Chanel_Chance.jpg,active
L'Immensité-Louis-Vuitton,L'Immensité Louis Vuitton,"L'Immensité de Louis Vuitton est une invitation à l'évasion, un hymne à la libération et au renouveau. Composé par le Maître Parfumeur Jacques Cavallier Belletrud, ce sillage capture l'instant précis où l'on se tient face à l'immensité d'un paysage infini, les yeux rivés sur l'horizon, prêt à réinventer sa vie. Logé dans le flacon épuré et intemporel de la Maison, laissant transparaître un jus doré et lumineux, ce parfum incarne un luxe moderne, dynamique et profondément captivant.

L'histoire olfactive s'ouvre sur un contraste saisissant de fraîcheur et de vivacité. Une surdose de gingembre du Nigeria, fusante, piquante et poivrée, se mêle à l'amertume désaltérante du pamplemousse d'Italie pour électriser les sens dès les premières secondes. En son cœur, la fragrance gagne en élégance aromatique grâce aux notes nobles du romarin et de la sauge sclarée, bousculées par un souffle aquatique pur et revigorant. Enfin, le piège de la séduction se déploie dans une sensualité hautement addictive et texturée, portée par l'ambroxan — note signature de la fraîcheur contemporaine — et la chaleur résineuse du labdanum, conférant au parfum une tenue exceptionnelle sur la peau.

À la fois tonique, chic et d'une sophistication sans compromis, L'Immensité est la signature incontournable de l'homme en quête d'un parfum à l'impact immédiat. Un sillage propre, racé et magnétique, conçu pour marquer les esprits et laisser une empreinte mémorable à chacun de vos passages.",Louis Vuitton,Aromatique,,,TRUE,Title,Default Title,REF-LOU-369,shopify,,continue,manual,349,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784392450028-878881210-Louis_Vuitton_l_immensite.jpg,active
chanel-chance-eau-splendide-tester,Chanel Chance Eau Splendide,"Une réinterprétation lumineuse où les notes florales s'enveloppent d'une fraîcheur hespéridée vibrante. Un sillage joyeux, élégant et plein de vitalité.",Chanel,Floral Pétillant,,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-237,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027959576-243485381-Chanel_Chance_splendide.jpg,active
Boss-Bottled-Elixir-Parfum-Intense,Boss Bottled Elixir Parfum Intense,"Boss Bottled Elixir est l'interprétation la plus sombre, intense et luxueuse jamais créée pour la célèbre collection de Hugo Boss. Conçu pour célébrer la force intérieure et l'accomplissement de l'homme moderne, cet élixir d'une concentration rare s'affranchit des notes fruitées originales pour proposer une signature olfactive mature, opulente et d'un raffinement extrême. Son flacon iconique se pare pour l'occasion d'un laquage noir mystérieux, subtilement illuminé en son centre par une lueur dorée incandescente.

L'expérience s'ouvre sur un sillage saisissant où les volutes captivantes d'un encens précieux se mêlent à la chaleur épicée de la cardamome. En son cœur, la fragrance révèle une masculinité brute et texturée, portée par la noblesse vibrante du vétiver et la profondeur organique du patchouli. Enfin, le sillage s'ancre avec puissance dans une base hautement addictive d'absolu de ciste résineux et de bois de cèdre chaleureux, garantissant une longévité et une projection exceptionnelles.

Sophistiqué, ténébreux et follement charismatique, Boss Bottled Elixir est un parfum de caractère. C'est l'atout invisible de l'homme affirmé qui veut laisser une empreinte indélébile et une aura de mystère absolue à chacun de ses passages.",Hugo Boss,Boisé,,,TRUE,Title,Default Title,REF-BOS-364,shopify,10,continue,manual,299,450,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784390686228-167846507-bottled_boss_elixir.jpg,active
Qaed-Al-Fursan-Unlimited,Qaed Al Fursan Unlimited,"Contrepartie lumineuse et solaire de l'emblématique flacon noir, Qaed Al Fursan Unlimited de la maison Lattafa est conçu comme une escapade vers une île paradisiaque baignée de soleil. Présenté dans un flacon blanc immaculé rehaussé d'une plaque dorée ornée du noble étalon arabe, il symbolise l'élégance pure, la douceur réconfortante et l'hospitalité orientale contemporaine.

Dès les premières pulvérisations, la fragrance transporte instantanément l'esprit vers un rivage tropical grâce à un accord lacté et gourmand de noix de coco fraîche, vivifié par une touche d'agrumes et d'ananas juteux. Le cœur s'épanouit rapidement dans un bouquet de fleurs blanches et solaires, où l'ylang-ylang velouté et le jasmin apportent une richesse opulente et raffinée. En séchant délicatement sur la peau, le parfum dévoile un fond chaud et addictif dominé par une vanille onctueuse, des muscs blancs soyeux et du bois de santal crémeux, laissant un sillage doux, sensuel et durable qui évoque une peau caressée par le soleil.",Lattafa,Floral Fruité Gourmand,,,FALSE,Title,Default Title,REF-LAT-390,shopify,10,continue,manual,500,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1787675662619-159731446-qaaed_al_fursan_unlimited_lattafa.jpg,draft
creed-viking-eau-de-parfum-tester,Creed Viking,"Un choc flamboyant de poivre rose, de menthe poivrée et de bois de santal, inspiré par les navires épiques. Un parfum ardent, audacieux et résolu.",Creed,Boisé Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-CRE-245,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986822441-Creed_Viking.jpg,active
black-opium-le-parfum-tester,Yves Black Opium,"L'accord café signature est bousculé par la gourmandise juteuse et acidulée d'une cerise noire intense. Une addiction liquoreuse, sombre et désirable.",Yves Saint Laurent,Ambré Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-YVE-224,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986830905-black_opium.jpg,active
narciso-rouge-tester,Narciso Rodriguez Narciso Rouge EDP,Testeur authentique de Narciso Rouge par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Narciso Rodriguez,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-NAR-312,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986846939-Narciso_Rouge.jpg,active
creed-aventus-eau-de-parfum-tester,Creed Aventus,"Une ouverture spectaculaire d'ananas, de bergamote et de pomme croquante, s'appuyant sur un fond fumé de bouleau et de musc de chêne. La puissance à l'état pur.",Creed,Chypré Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-CRE-243,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986820669-Creed_Aventus.jpg,active
dior-dior-homme-intense-tester,Dior Homme Intense,Un iris majestueux et poudré qui se fond dans la chaleur ambrée de l'ambrette et l'élégance du cèdre de Virginie. Une sophistication nocturne et magnétique.,Dior,Boisé Floral Musqué,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-250,shopify,9,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986823993-Dior_Homme_Intense.jpg,active
Louis-Vuitton-Ombre-Nomade,Louis Vuitton - Ombre Nomade,"Ombre Nomade de Louis Vuitton est l'un des chefs-d'œuvre absolus et les plus convoqués de la haute parfumerie contemporaine. Imaginé par le Maître Parfumeur Jacques Cavallier Belletrud, ce parfum capture la beauté sauvage, changeante et mystique du désert, là où le soleil couchant embrase le ciel et étire les ombres sur le sable infini. Logé dans un flacon architectural teinté d'un brun sombre et mystérieux, magnifié par des reflets d'or, il est le symbole d'un luxe pur, sans compromis, à la fois brut, ténébreux et profondément impérial.

L'expérience olfactive propose un voyage sensoriel d'une intensité rare. La fragrance s'ouvre sur un contraste saisissant où une touche de framboise et de safran apporte une lueur fruitée, presque incandescente, à travers l'obscurité. Très vite, le cœur sacré du parfum se révèle : un bois de Oud Assam d'une qualité et d'une pureté exceptionnelles s'entrelace aux volutes envoûtantes d'un encens spirituel et fumé. Enfin, le piège de la séduction s'ancre dans une base animale et enveloppante de cuir noir et de bois de bouleau, conférant au sillage une texture veloutée et une profondeur addictive.

Reconnu mondialement pour sa projection spectaculaire et sa longévité légendaire sur la peau, Ombre Nomade transcende les genres et les tendances. C'est la signature ultime des personnalités affirmées et des connaisseurs exigeants qui recherchent un sillage d’exception, mystique, charismatique et absolument inoubliable.",Louis Vuitton,Boisé,,,TRUE,Title,Default Title,REF-LOU-368,shopify,,continue,manual,349,550,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784392155211-51195986-Louis_Vuitton_-_Ombre_Nomade.jpg,active
dior-sauvage-elixir-eau-de-parfum-tester,Dior Sauvage Elixir,"Une concentration extrême où les épices chaudes (muscade, cannelle) rencontrent une lavande sur-mesure et un fond riche de bois liquoreux. Un sillage racé, dense et nocturne.",Dior,Aromatique Boisé Épicé,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-253,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986823221-Dior_Sauvage_Elixir.jpg,active
valentino-uomo-born-in-roma-intense-eau-de-parfum-tester,Valentino Uomo Born In Roma Intense EDP,"La fraîcheur aromatique de la lavande se fond dans la chaleur suave de la vanille et la profondeur d'un vétiver fumé. Un sillage dense, viril et nocturne.",Valentino,Ambré Fougère,,"tester,nouveau",TRUE,Title,Default Title,REF-VAL-339,shopify,8,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986825370-Valentino_Uomo_Born_In_Roma_Intense.jpg,active
armani-stronger-with-you-absolutely-tester,Armani Stronger With You Absolutely,"Un accord rhum captivant marié à la lavande française et à la vanille de Madagascar. Un sillage liquoreux, nocturne et profondément magnétique.",Giorgio Armani,Ambré Fougère,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-071,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986825929-armani_stronger_with_you_abso.jpg,active
CK-Free-for-Men-Calvin-Klein-Eau-de-Toilette,CK Free for Men – Calvin Klein Eau de Toilette,"CK Free for Men de Calvin Klein est une fragrance masculine créée autour d’une idée simple : la liberté. Lancé en 2009, ce parfum signé Rodrigo Flores-Roux et Ellen Molner propose une composition moderne qui associe fraîcheur aromatique, accords boisés et facettes plus profondes de daim, de café et de tabac.

Dès l’ouverture, CK Free dévoile une fraîcheur originale et énergique. Les baies de genévrier s’associent à l’anis étoilé et à l’absinthe, créant une sensation aromatique fraîche et légèrement épicée. Le jacquier apporte une nuance fruitée inhabituelle qui donne immédiatement une identité particulière à la fragrance.

Le cœur révèle ensuite un caractère plus masculin et sophistiqué. Le daim apporte une texture douce et élégante, tandis que les feuilles de tabac et le café donnent davantage de profondeur à la composition. Le buchu, plante aromatique originaire d’Afrique du Sud, vient renforcer son côté vert et distinctif.

Enfin, la fragrance repose sur une base résolument boisée. Le patchouli, le bois de chêne, le cèdre du Texas et le bois de fer du Costa Rica forment un sillage sec, chaleureux et masculin qui équilibre parfaitement la fraîcheur des premières notes.",Calvin Klein,Aromatique Boisé,,,TRUE,Title,Default Title,,shopify,2,continue,manual,599,699,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1788984733756-712966714-Ck_free_for_men.jpg,active
l-interdit-noir-eau-de-parfum-intense-tester,GIVENCHY L'INTERDIT EDP Intense,"Le bouquet de fleurs blanches (fleur d'oranger, tubéreuse) bascule dans l'obscurité avec un sillage addictif de vanille cuirée, de sésame torréfié et de vétiver. Sensuel et mystérieux.",Givenchy,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-GIV-295,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784028397745-316891243-L_Interdit_Noir_Intense.jpg,active
gucci-flora-gorgeous-gardenia-eau-de-parfum-tester,Gucci Flora Gorgeous Gardenia,"L'éclat de la fleur de poirier introduit un cœur riche de gardénia blanc, adouci par une touche de sucre roux gourmand. Un parfum pétillant et optimiste.",Gucci,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-GUC-270,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986828803-Gucci_Flora_Gorgeous_Gardenia.jpg,active
Louis-Vuitton-Matiere-noire,Louis Vuitton Matiere noire,"Matière Noire de Louis Vuitton est une œuvre olfactive fascinante qui explore les facettes les plus secrètes, sombres et magnétiques de la haute parfumerie. Imaginée par le Maître Parfumeur Jacques Cavallier Belletrud, cette fragrance se vit comme une odyssée sensorielle au cœur d’une nature impénétrable, là où l'obscurité des bois précieux est soudainement transpercée par la lumière cristalline de fleurs sacrées. Logé dans le flacon épuré signature de la Maison, révélant un jus d'un rose doux et énigmatique, ce parfum incarne une féminité de caractère, sophistiquée et intensément magnétique.

L'expérience s'ouvre sur un contraste saisissant de fraîcheur fruitée. L'acidité vibrante du cassis et de la groseille s'anime au contact de notes aquatiques fluides, captivant les sens dès les premiers instants. En son cœur, la fragrance bascule dans une poésie botanique d'un luxe absolu : la noblesse charnelle de la rose de mai s'entrelace à l'intensité solaire du jasmin sambac pour draper la peau d'un voile de haute couture. Enfin, le piège de la séduction se referme dans une profondeur ténébreuse et addictive. Le précieux bois de oud du Laos fusionne avec la richesse terreuse du patchouli et les volutes spirituelles de l'encens, conférant au sillage une texture veloutée et une persistance royale.

Jouant à la perfection sur le contraste du clair-obscur, Matière Noire est un parfum de sillage et de sillage. C'est la signature invisible idéale pour la femme affirmée qui recherche une fragrance texturée, rare et enveloppante, conçue pour intriguer, fasciner et laisser un souvenir impérissable.",Louis Vuitton,Boisé,,,TRUE,Title,Default Title,REF-LOU-371,shopify,,continue,manual,349,500,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784392979542-612376027-Louis_Vuitton_matiere_Noire.jpg,active
Louis-Vuitton-Spell-On-You,Louis Vuitton Spell On You,"Spell On You de Louis Vuitton est une vibrante déclaration d'amour olfactive, un philtre de séduction irrésistible qui capture la tension magnétique et l'espièglerie d'un jeu amoureux passionné. Imaginée par le Maître Parfumeur Jacques Cavallier Belletrud, cette fragrance fusionne le romantisme des fleurs les plus nobles avec une sensualité charnelle et addictive. Le flacon épuré de la Maison s'habille ici d'un motif hypnotique de pois rouges, célébrant une rencontre exclusive entre l'art contemporain et la haute parfumerie, où le rythme visuel fait écho à l'obsession amoureuse.

L'histoire s'ouvre sur une sophistication immédiate et d'une clarté remarquable. La fraîcheur vive des notes vertes vient éveiller la délicatesse poudrée de la violette et la noblesse d'un iris majestueux. En son cœur, le parfum dévoile toute sa dualité : la rose de mai et le jasmin sambac s'unissent à un absolu d'iris de Florence d'une qualité rare, drapant la peau d'une texture florale riche, dense et infiniment haute couture. Enfin, le piège de la séduction se referme dans une douceur espiègle et caressante. La rondeur fruitée de la pêche de vigne fusionne avec un nuage de muscs blancs, créant un effet ""seconde peau"" d'une persistance et d'un confort exceptionnels.

À la fois romantique, poudré et intensément magnétique, Spell On You transcende les bouquets floraux classiques. C'est le sillage invisible d'une femme sensuelle, joueuse et sûre de son charme, conçu pour ensorceler ceux qui croisent son chemin et laisser une empreinte mémorable à chacun de ses passages.",Louis Vuitton,Floral,,,TRUE,Title,Default Title,REF-LOU-372,shopify,,continue,manual,399,600,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784393218538-725670294-Louis_Vuitton_Spell_On_You.jpg,active
